feature,importance
emb_511,0.0012183831
emb_127,0.0012068026
emb_288,0.0012063818
emb_464,0.0012000242
emb_494,0.0011988203
emb_292,0.0011984507
emb_510,0.0011926034
emb_95,0.0011874586
emb_180,0.0011823098
emb_389,0.001179185
emb_474,0.0011765312
emb_384,0.0011743784
emb_153,0.0011736084
emb_439,0.0011688931
emb_378,0.0011674913
emb_98,0.0011633477
emb_366,0.0011629318
emb_498,0.0011622327
emb_183,0.0011582866
emb_299,0.0011562905
emb_160,0.0011557312
emb_391,0.0011491231
emb_17,0.0011425478
emb_172,0.0011392202
emb_161,0.0011383606
emb_495,0.0011376139
emb_302,0.0011374599
emb_415,0.0011330899
emb_438,0.0011323947
emb_48,0.0011319773
emb_68,0.001131443
emb_211,0.0011306417
emb_106,0.0011247729
emb_363,0.0011235761
emb_218,0.00112162
emb_445,0.0011195394
emb_18,0.0011190659
emb_380,0.0011171544
emb_457,0.0011160236
emb_82,0.0011155691
emb_27,0.0011147014
emb_282,0.0011145642
emb_138,0.0011116179
emb_263,0.0011097131
emb_291,0.0011074876
emb_472,0.0011060286
emb_149,0.00110147
emb_245,0.0011000751
emb_405,0.0010929685
emb_232,0.0010921104
emb_24,0.0010905032
emb_393,0.0010856113
emb_151,0.0010831692
emb_341,0.0010814464
emb_83,0.0010791274
emb_374,0.0010763106
emb_304,0.0010751677
emb_281,0.0010728725
emb_377,0.0010707917
emb_449,0.0010669081
emb_340,0.0010664854
emb_122,0.0010655859
emb_237,0.0010612643
emb_190,0.001050259
emb_463,0.0010469034
emb_284,0.0010468067
emb_293,0.0010431824
emb_387,0.0010430571
emb_280,0.0010429383
emb_314,0.0010416495
emb_499,0.0010412773
emb_437,0.0010397681
emb_50,0.0010394471
emb_290,0.001038325
emb_328,0.0010358398
emb_71,0.0010354246
emb_191,0.0010330802
emb_269,0.0010322459
emb_352,0.0010273071
emb_16,0.0010257034
emb_398,0.0010254894
emb_0,0.0010242302
emb_101,0.001023602
emb_310,0.0010233389
emb_175,0.0010170928
emb_430,0.0010122614
emb_330,0.001011903
emb_338,0.0010116099
emb_306,0.0010105345
emb_258,0.0010091516
emb_507,0.001009116
emb_80,0.0010048574
emb_376,0.0009985083
emb_23,0.0009980756
emb_410,0.0009951587
emb_139,0.0009948518
emb_434,0.0009932461
emb_110,0.0009917944
emb_109,0.0009916051
emb_11,0.0009892303
emb_181,0.000987603
emb_148,0.000983222
emb_469,0.0009823819
emb_242,0.0009820927
emb_128,0.0009790319
emb_313,0.0009785193
emb_197,0.0009771654
emb_505,0.000976067
emb_221,0.00097450294
emb_318,0.00097434106
emb_481,0.00097217126
emb_349,0.00097138004
emb_217,0.00096841424
emb_421,0.0009674479
emb_294,0.00096545945
emb_120,0.000961683
emb_113,0.0009583829
emb_273,0.00095735455
emb_486,0.00095522933
emb_353,0.0009526242
emb_394,0.0009499062
emb_107,0.00094733865
emb_344,0.00094667624
emb_156,0.000943679
emb_119,0.0009424262
emb_165,0.00094121223
emb_305,0.00094035274
emb_84,0.00093607587
emb_204,0.0009334564
emb_289,0.00093318353
emb_22,0.0009330952
emb_277,0.00093300355
emb_14,0.0009319082
emb_440,0.00093156454
emb_375,0.000929594
emb_114,0.0009293707
emb_163,0.0009282332
emb_466,0.00092442275
emb_91,0.00092275837
emb_355,0.0009191331
emb_100,0.00091909565
emb_93,0.0009172352
emb_441,0.0009122366
emb_260,0.00091145607
emb_194,0.0009055918
emb_509,0.00089991465
emb_43,0.0008984422
emb_206,0.00089363585
emb_334,0.0008926938
emb_112,0.0008915541
emb_182,0.0008894772
emb_4,0.0008842572
emb_226,0.00088355667
emb_219,0.0008825766
emb_408,0.0008819743
emb_482,0.00087993126
emb_171,0.00087614765
emb_40,0.0008750772
emb_213,0.0008731331
emb_401,0.00086917577
emb_57,0.00086856855
emb_400,0.00086617976
emb_227,0.0008641068
emb_452,0.00086409587
emb_337,0.00086033664
emb_21,0.0008596743
emb_51,0.00085776567
emb_44,0.00085633394
emb_130,0.00085486175
emb_501,0.0008542703
emb_461,0.00085123
emb_301,0.00084983377
emb_152,0.0008479511
emb_347,0.0008457359
emb_390,0.0008454196
emb_456,0.0008415325
emb_63,0.000841461
emb_325,0.00083878596
emb_143,0.0008362026
emb_429,0.000833167
emb_125,0.00083295396
emb_60,0.000832385
emb_174,0.0008321801
emb_37,0.00082690065
emb_496,0.0008255795
emb_58,0.0008250203
emb_264,0.00082043366
emb_186,0.0008191335
emb_285,0.000817765
emb_433,0.00081671856
emb_248,0.0008155944
emb_210,0.0008115545
emb_423,0.0008112707
emb_298,0.0008102591
emb_350,0.00080686185
emb_209,0.0008053765
emb_412,0.0008044269
emb_447,0.00080328825
emb_487,0.00080300774
emb_266,0.0008010451
emb_79,0.0007992411
emb_41,0.0007967299
emb_92,0.00079660537
emb_47,0.0007937204
emb_402,0.0007933752
emb_343,0.00079104694
emb_303,0.0007903138
emb_36,0.0007893902
emb_388,0.0007838408
emb_225,0.0007837011
emb_296,0.0007836459
emb_342,0.0007831168
emb_329,0.00077987526
emb_176,0.00077626534
emb_432,0.0007759535
emb_62,0.0007728924
emb_476,0.0007728268
emb_7,0.00076666754
emb_28,0.0007615637
emb_77,0.0007560435
emb_29,0.0007537352
emb_404,0.00074259733
emb_65,0.0007357439
emb_356,0.00073308643
emb_179,0.00073038845
emb_275,0.0007264349
emb_295,0.0007225501
emb_367,0.0007209838
emb_253,0.0007126387
emb_89,0.000709097
emb_229,0.00070818805
emb_331,0.0007070652
emb_448,0.0006984185
emb_478,0.0006967582
emb_5,0.000693098
emb_428,0.00068023603
emb_267,0.0006768798
emb_202,0.0006714725
emb_45,0.00067138986
emb_87,0.0006688259
emb_12,0.00066855975
emb_436,0.00065433927
emb_506,0.00064820005
emb_403,0.0006256729
emb_72,0.00062466675
emb_490,0.00061864086
emb_78,0.00061685644
emb_33,0.0005939417
emb_271,0.00058784586
emb_488,0.0005819052
emb_117,0.00057438784
emb_265,0.0005676981
emb_201,0.0005578322
emb_73,0.00055519736
emb_420,0.0005530522
emb_142,0.0005408415
emb_491,0.00053963903
emb_316,0.00050804013
emb_228,0.00048806812
emb_279,0.0004862883
emb_268,0.00036849576
emb_166,0.00018802499
emb_278,0.00017181603
emb_418,0.0
emb_236,0.0
emb_76,0.0
emb_244,0.0
emb_392,0.0
emb_25,0.0
emb_187,0.0
emb_178,0.0
emb_246,0.0
emb_397,0.0
emb_251,0.0
emb_13,0.0
emb_312,0.0
emb_67,0.0
