feature,coefficient,abs_coefficient
emb_461,2.750871319860099,2.750871319860099
emb_11,2.3483438053209253,2.3483438053209253
emb_197,-2.3018438066656697,2.3018438066656697
emb_488,2.0658291316149486,2.0658291316149486
emb_232,-2.040274888030602,2.040274888030602
emb_211,2.0085329408932004,2.0085329408932004
emb_32,1.9957416800033807,1.9957416800033807
emb_386,-1.9415077976295136,1.9415077976295136
emb_25,1.7455615129809388,1.7455615129809388
emb_236,1.5658182576986825,1.5658182576986825
emb_214,1.5640507317343801,1.5640507317343801
emb_477,-1.4974992893445713,1.4974992893445713
emb_251,-1.46873103696403,1.46873103696403
emb_233,1.447531029196078,1.447531029196078
emb_395,-1.4090946958171027,1.4090946958171027
emb_221,1.394078157567958,1.394078157567958
emb_237,-1.3693277629006695,1.3693277629006695
emb_306,-1.3538837745090406,1.3538837745090406
emb_49,-1.3204629475659866,1.3204629475659866
emb_91,-1.2978051697415645,1.2978051697415645
emb_403,-1.295340710897491,1.295340710897491
emb_134,-1.2891507564899267,1.2891507564899267
emb_14,-1.2557189870599017,1.2557189870599017
emb_508,1.2398463993841342,1.2398463993841342
emb_296,-1.2093216743359132,1.2093216743359132
emb_261,-1.206769201048961,1.206769201048961
emb_402,-1.1878486895659142,1.1878486895659142
emb_96,-1.1852268305251343,1.1852268305251343
emb_13,1.1560349524313314,1.1560349524313314
emb_419,1.1444231084148013,1.1444231084148013
emb_235,1.1323805854328868,1.1323805854328868
emb_139,-1.1294912468801797,1.1294912468801797
emb_437,-1.1239915872838977,1.1239915872838977
emb_166,1.1183932478152272,1.1183932478152272
emb_52,-1.087382977145358,1.087382977145358
emb_131,1.0708922391365046,1.0708922391365046
emb_24,-1.067704528814491,1.067704528814491
emb_187,-1.0675838963094897,1.0675838963094897
emb_12,-1.0359054525901124,1.0359054525901124
emb_153,-1.026726236761406,1.026726236761406
emb_448,-0.9948462151796462,0.9948462151796462
emb_353,-0.992779712151673,0.992779712151673
emb_118,0.9859069543656079,0.9859069543656079
emb_440,-0.9828605209643908,0.9828605209643908
emb_436,-0.9779264070986033,0.9779264070986033
emb_46,-0.9776521566095161,0.9776521566095161
emb_147,-0.9723810885926569,0.9723810885926569
emb_185,-0.9706473637012605,0.9706473637012605
emb_167,-0.9680358581888542,0.9680358581888542
emb_423,0.9651024334975645,0.9651024334975645
emb_82,0.9633645703212921,0.9633645703212921
emb_478,-0.9532054011237849,0.9532054011237849
emb_108,-0.9506018681437153,0.9506018681437153
emb_411,-0.9495374185812787,0.9495374185812787
emb_327,-0.9414121635250043,0.9414121635250043
emb_371,0.9373555811215017,0.9373555811215017
emb_347,-0.9357949819878232,0.9357949819878232
emb_466,0.9343924932853637,0.9343924932853637
emb_464,0.9247546013857525,0.9247546013857525
emb_416,0.9156439740975324,0.9156439740975324
emb_208,0.9105343065954465,0.9105343065954465
emb_254,-0.910242443403391,0.910242443403391
emb_397,-0.9049668001014288,0.9049668001014288
emb_196,0.9037505968999373,0.9037505968999373
emb_473,0.9027882250243799,0.9027882250243799
