feature,coefficient,abs_coefficient
emb_197,-2.8507751211305496,2.8507751211305496
emb_11,2.271398351160801,2.271398351160801
emb_32,1.9953308132984293,1.9953308132984293
emb_488,1.9587923227858548,1.9587923227858548
emb_461,1.9177412573346762,1.9177412573346762
emb_25,1.8156067135792608,1.8156067135792608
emb_232,-1.773955510103553,1.773955510103553
emb_251,-1.5949892500772056,1.5949892500772056
emb_118,1.5737505717967077,1.5737505717967077
emb_344,1.5186707677975835,1.5186707677975835
emb_156,1.4366762424088249,1.4366762424088249
emb_49,-1.4272057953270438,1.4272057953270438
emb_386,-1.3710202568392,1.3710202568392
emb_306,-1.3498669961121221,1.3498669961121221
emb_236,1.3459823283764498,1.3459823283764498
emb_278,1.3391464516646499,1.3391464516646499
emb_477,-1.3322676952931176,1.3322676952931176
emb_508,1.2730083591534553,1.2730083591534553
emb_14,-1.271308386097081,1.271308386097081
emb_211,1.2670922881170044,1.2670922881170044
emb_402,-1.2565479866238016,1.2565479866238016
emb_254,-1.252206505847375,1.252206505847375
emb_395,-1.2207365725812327,1.2207365725812327
emb_226,1.1768973519244113,1.1768973519244113
emb_96,-1.1307291159103832,1.1307291159103832
emb_371,1.1060912155134868,1.1060912155134868
emb_131,1.1050499621427143,1.1050499621427143
emb_214,1.089124086330832,1.089124086330832
emb_442,-1.08901318252706,1.08901318252706
emb_233,1.0858645719511073,1.0858645719511073
emb_83,-1.082491060002389,1.082491060002389
emb_436,-1.059294652734015,1.059294652734015
emb_187,-1.0421411605211066,1.0421411605211066
emb_91,-1.037826365381144,1.037826365381144
emb_286,1.0331655978762824,1.0331655978762824
emb_44,-1.0182589844298855,1.0182589844298855
emb_275,-1.0119783756529526,1.0119783756529526
emb_464,1.0069233912200244,1.0069233912200244
emb_359,1.0047111915883116,1.0047111915883116
emb_194,0.9975863007405323,0.9975863007405323
emb_148,0.9799021910064588,0.9799021910064588
emb_353,-0.9765515857902372,0.9765515857902372
emb_419,0.9698665521507669,0.9698665521507669
emb_13,0.9697668506349507,0.9697668506349507
emb_134,-0.9668013317538583,0.9668013317538583
emb_411,-0.9625331052577972,0.9625331052577972
emb_213,0.962045145019466,0.962045145019466
emb_123,0.9494293464219435,0.9494293464219435
emb_171,0.9468344239506653,0.9468344239506653
emb_423,0.9458503286516841,0.9458503286516841
emb_470,-0.9284307701927415,0.9284307701927415
emb_290,-0.9212822494931507,0.9212822494931507
emb_235,0.9206614948179939,0.9206614948179939
emb_74,0.9191551711192706,0.9191551711192706
emb_54,-0.9180356621752089,0.9180356621752089
emb_79,0.9136596087972695,0.9136596087972695
emb_466,0.908643252464435,0.908643252464435
emb_189,-0.9059351917986674,0.9059351917986674
emb_334,0.9031880553676159,0.9031880553676159
emb_167,-0.883620332115186,0.883620332115186
emb_108,-0.8816125064626814,0.8816125064626814
emb_408,-0.8771644252357284,0.8771644252357284
emb_322,0.8744883726750001,0.8744883726750001
emb_139,-0.8718377781508267,0.8718377781508267
emb_24,-0.8654626744418032,0.8654626744418032
emb_114,0.8588907891656282,0.8588907891656282
emb_12,-0.8552011346921994,0.8552011346921994
emb_166,0.852990489875371,0.852990489875371
emb_374,0.8497489184230554,0.8497489184230554
emb_440,-0.8461616051626482,0.8461616051626482
emb_240,-0.8443321460071443,0.8443321460071443
emb_6,0.8377198813140929,0.8377198813140929
emb_21,0.8350661714465353,0.8350661714465353
emb_449,0.8348029645211476,0.8348029645211476
emb_46,-0.8338399071299754,0.8338399071299754
emb_37,-0.8279310183642928,0.8279310183642928
emb_7,-0.8213183562797235,0.8213183562797235
emb_1,0.8212700591766432,0.8212700591766432
emb_268,-0.8178207512929967,0.8178207512929967
emb_387,0.8175033743295799,0.8175033743295799
emb_296,-0.8134659767446687,0.8134659767446687
emb_221,0.8133250825732451,0.8133250825732451
emb_262,-0.8101814534714423,0.8101814534714423
emb_185,-0.8073700949251252,0.8073700949251252
emb_352,-0.8067066210634597,0.8067066210634597
emb_60,0.8061838731917912,0.8061838731917912
emb_227,-0.8037157342025014,0.8037157342025014
emb_314,0.8033465705139197,0.8033465705139197
emb_43,-0.8001804813423338,0.8001804813423338
emb_84,-0.7932988164983837,0.7932988164983837
emb_330,0.7893647945420318,0.7893647945420318
emb_147,-0.7885986997365196,0.7885986997365196
emb_145,0.7756773520903242,0.7756773520903242
emb_82,0.775199317992675,0.775199317992675
emb_87,0.7735930367272383,0.7735930367272383
emb_328,-0.772132533182064,0.772132533182064
emb_347,-0.7675875918644166,0.7675875918644166
emb_128,0.767184192604492,0.767184192604492
emb_98,0.7671434292413822,0.7671434292413822
emb_509,-0.759236571939869,0.759236571939869
