feature,coefficient,abs_coefficient
emb_107,0.9696866015633097,0.9696866015633097
emb_100,-0.6319381327046656,0.6319381327046656
BMI,0.6046946858034079,0.6046946858034079
emb_137,0.6013342398552322,0.6013342398552322
emb_0,0.5920750364633608,0.5920750364633608
sex,0.5383776148785435,0.5383776148785435
age,0.5242829242510181,0.5242829242510181
emb_382,0.509632341394282,0.509632341394282
emb_175,-0.46140422021786526,0.46140422021786526
emb_92,0.4576975937862235,0.4576975937862235
emb_118,-0.4177595186256198,0.4177595186256198
emb_178,-0.38636908594121516,0.38636908594121516
emb_74,0.3832468018460824,0.3832468018460824
emb_18,0.3627894073323124,0.3627894073323124
emb_500,0.3614659189284057,0.3614659189284057
emb_20,0.35272766735719113,0.35272766735719113
emb_508,0.3457182889004527,0.3457182889004527
emb_435,-0.3451959815295623,0.3451959815295623
emb_465,0.33895978105873725,0.33895978105873725
emb_56,-0.3358173690022773,0.3358173690022773
emb_360,0.3335331794021672,0.3335331794021672
emb_12,0.33305545372385614,0.33305545372385614
emb_129,0.32789582395656214,0.32789582395656214
emb_282,-0.32494059582799867,0.32494059582799867
emb_183,0.32024169840581423,0.32024169840581423
emb_335,0.31766405412792453,0.31766405412792453
emb_57,0.30628576041611105,0.30628576041611105
emb_215,0.30440246108290997,0.30440246108290997
emb_363,-0.3037887269338315,0.3037887269338315
emb_243,-0.30313267816682565,0.30313267816682565
emb_195,-0.3029929058736274,0.3029929058736274
emb_484,-0.297839759299318,0.297839759299318
emb_393,0.2970349018532582,0.2970349018532582
emb_69,-0.2931684925171186,0.2931684925171186
emb_446,-0.29104509149320223,0.29104509149320223
emb_504,-0.29033247407320983,0.29033247407320983
emb_325,0.28970156773259337,0.28970156773259337
emb_254,-0.2821732662210308,0.2821732662210308
emb_208,0.2764070755341607,0.2764070755341607
emb_4,0.2745765503803232,0.2745765503803232
emb_462,-0.27142788871523965,0.27142788871523965
emb_28,-0.26742724700380804,0.26742724700380804
emb_490,0.26345835198613726,0.26345835198613726
emb_75,0.25099676573853924,0.25099676573853924
emb_292,0.24969200375242517,0.24969200375242517
emb_311,0.24624574026510676,0.24624574026510676
emb_6,0.24251422790251312,0.24251422790251312
emb_424,-0.2365859725180594,0.2365859725180594
emb_427,-0.2351146499645784,0.2351146499645784
emb_229,0.23192653535698013,0.23192653535698013
emb_263,0.23140939538358074,0.23140939538358074
emb_130,-0.229276826317014,0.229276826317014
emb_58,0.22827735787757925,0.22827735787757925
emb_497,0.22773800162649038,0.22773800162649038
emb_34,0.2270571572106302,0.2270571572106302
emb_9,-0.22300360520938475,0.22300360520938475
emb_234,-0.21488777070018178,0.21488777070018178
emb_270,0.21411001648017258,0.21411001648017258
