feature,coefficient,abs_coefficient
emb_107,0.8734606051553129,0.8734606051553129
emb_92,0.5430097125311864,0.5430097125311864
emb_137,0.4979615736379146,0.4979615736379146
emb_382,0.45914989400292056,0.45914989400292056
emb_100,-0.42560295268691056,0.42560295268691056
emb_491,-0.4251505902360118,0.4251505902360118
emb_129,0.4236381627839447,0.4236381627839447
emb_20,0.3552593923975139,0.3552593923975139
emb_1,0.3481531515354325,0.3481531515354325
emb_462,-0.33994424945899426,0.33994424945899426
emb_175,-0.3354794206849992,0.3354794206849992
emb_0,0.33328744423028106,0.33328744423028106
emb_335,0.33037321301478495,0.33037321301478495
emb_320,0.32646735595362014,0.32646735595362014
emb_435,-0.32274378525939007,0.32274378525939007
emb_508,0.32158143651756543,0.32158143651756543
emb_363,-0.31664961750579385,0.31664961750579385
emb_202,-0.3163974220995248,0.3163974220995248
emb_484,-0.31450879745837496,0.31450879745837496
emb_393,0.3129178313964897,0.3129178313964897
emb_118,-0.3010394891966476,0.3010394891966476
emb_208,0.2996427502288961,0.2996427502288961
emb_404,0.29270864793936596,0.29270864793936596
emb_504,-0.2854695908169514,0.2854695908169514
emb_325,0.2837642882618229,0.2837642882618229
emb_282,-0.2788569734370406,0.2788569734370406
emb_242,-0.27856261667415516,0.27856261667415516
emb_34,0.2781868781612122,0.2781868781612122
emb_200,0.27702823417672,0.27702823417672
emb_60,0.26134749620596237,0.26134749620596237
emb_18,0.25636602695378563,0.25636602695378563
emb_243,-0.24812479835838544,0.24812479835838544
emb_57,0.24475499805282705,0.24475499805282705
emb_56,-0.2441172323226554,0.2441172323226554
emb_311,0.2430812445282063,0.2430812445282063
emb_33,-0.23989051129603126,0.23989051129603126
emb_500,0.2293848544590141,0.2293848544590141
emb_465,0.22317260488589244,0.22317260488589244
emb_170,-0.22211994634892038,0.22211994634892038
emb_178,-0.21936258051460997,0.21936258051460997
emb_270,0.20953665652408754,0.20953665652408754
emb_265,-0.20737193444786112,0.20737193444786112
emb_383,0.20605959281754002,0.20605959281754002
emb_21,0.20455144694688188,0.20455144694688188
emb_511,-0.203300719329169,0.203300719329169
emb_195,-0.20231186924349479,0.20231186924349479
emb_496,0.20101088704363082,0.20101088704363082
emb_354,0.1997245339745143,0.1997245339745143
emb_215,0.19851299454295346,0.19851299454295346
emb_50,-0.19609383347763776,0.19609383347763776
emb_3,-0.19455000324683708,0.19455000324683708
emb_254,-0.19220925467316613,0.19220925467316613
emb_446,-0.19140696108365812,0.19140696108365812
