Model,Accuracy,ROC_AUC,Training_Time
M0: PaPaGei Only,0.6367435193508418,0.6835570629356372,34495.73544931412
M1: Metadata Only,0.6742061660309516,0.729576789188704,5.532927989959717
M2: PaPaGei + Metadata,0.7134909258764365,0.7845321360597057,26434.098007678986
