Model,Accuracy,ROC_AUC,Training_Time
M0: XGBoost PaPaGei Only,0.5721192390855422,0.6892407895206146,2309.6372249126434
M1: XGBoost Metadata Only,0.5469254877189572,0.7301605080818513,36.81736397743225
M2: XGBoost PaPaGei + Metadata,0.6578071475425767,0.7865714559726609,4121.231897115707
